GAME_DATE,MATCHUP,PTS,HOME,days_rest,pts_last3,pts_last5,pts_last10,min_last3,min_last5,fga_last3,fga_last5,fg3a_last5,fta_last5,reb_last5,ast_last5,pts_std_last5
2023-11-15,LAL vs. SAC,28,1,1.0,22.0,24.0,24.3,28.666666666666668,31.6,13.666666666666666,15.8,4.2,5.8,7.8,4.4,7.0710678118654755
2023-11-17,LAL @ POR,35,0,2.0,25.333333333333332,24.8,25.0,31.333333333333332,31.6,14.333333333333334,15.8,4.6,6.0,8.0,5.8,7.293833011524188
2023-11-19,LAL vs. HOU,37,1,2.0,26.333333333333332,25.8,26.4,31.0,31.2,16.0,15.6,5.6,6.4,8.2,7.0,8.438009243891594
2023-11-21,LAL vs. UTA,17,1,2.0,33.333333333333336,29.6,27.4,36.666666666666664,33.8,18.666666666666668,16.8,6.2,7.2,8.2,8.2,8.324662155306964
2023-11-22,LAL vs. DAL,26,1,1.0,29.666666666666668,26.6,27.2,33.0,31.4,17.0,15.4,6.4,5.4,7.4,8.8,9.813256340277675
2023-11-25,LAL @ CLE,22,0,3.0,26.666666666666668,28.6,26.3,33.333333333333336,34.0,16.0,17.0,7.0,6.4,7.4,9.0,7.956129712366435
2023-11-27,LAL @ PHI,18,0,2.0,21.666666666666668,27.4,26.1,32.0,34.2,17.333333333333332,18.6,7.4,6.2,6.6,7.8,8.502940667792526
2023-11-29,LAL @ DET,25,0,2.0,22.0,24.0,24.9,34.0,33.2,18.0,16.6,5.8,5.4,5.6,7.0,8.093207028119323
2023-11-30,LAL @ OKC,21,0,1.0,21.666666666666668,21.6,25.6,31.666666666666668,31.0,18.0,16.6,6.0,4.6,6.0,6.0,4.03732584763727
2023-12-02,LAL vs. HOU,16,1,2.0,21.333333333333332,22.4,24.5,31.333333333333332,33.2,14.333333333333334,17.0,6.6,5.0,7.0,5.4,3.2093613071762417
2023-12-05,LAL vs. PHX,31,1,3.0,20.666666666666668,20.4,24.5,33.0,33.0,16.0,16.6,5.6,4.6,6.0,5.4,3.507135583350035
2023-12-07,LAL vs. NOP,30,1,2.0,22.666666666666668,22.2,24.8,36.666666666666664,33.8,18.0,17.0,4.6,4.4,6.4,6.4,5.974947698515861
2023-12-12,LAL @ DAL,33,0,5.0,25.666666666666668,24.6,24.3,32.666666666666664,32.4,18.0,17.0,5.2,5.6,7.4,7.0,6.26897120746299
2023-12-15,LAL @ SAS,23,0,3.0,31.333333333333332,26.2,23.9,34.333333333333336,34.6,21.333333333333332,18.6,5.6,5.2,7.4,8.2,7.3280283842245035
2023-12-18,LAL vs. NYK,25,1,3.0,28.666666666666668,26.6,24.5,33.0,34.8,18.666666666666668,19.6,5.2,6.4,6.4,9.8,7.021395872616782
2023-12-20,LAL @ CHI,25,0,2.0,27.0,28.4,24.4,38.333333333333336,35.6,22.333333333333332,20.8,6.0,6.2,7.8,10.6,4.219004621945795
2023-12-23,LAL @ OKC,40,0,3.0,24.333333333333332,27.2,24.7,37.333333333333336,35.0,19.333333333333332,19.4,5.8,5.8,8.2,10.2,4.147288270665542
