PLAYER_NAME,PLAYER_ID,GAME_DATE,MATCHUP,PTS,HOME,days_rest,pts_last3,pts_last5,pts_last10,min_last3,min_last5,fga_last3,fga_last5,fg3a_last5,fta_last5,reb_last5,ast_last5,pts_std_last5,pts_trend,min_trend,fga_trend
A.J. Lawson,1630639,2023-12-22,DAL @ HOU,8,0,2.0,2.0,1.6,3.1,5.666666666666667,3.8,1.3333333333333333,1.0,0.4,0.4,0.4,0.0,2.60768096208106,-1.5,1.8666666666666671,0.33333333333333326
A.J. Lawson,1630639,2023-12-23,DAL vs. SAS,17,1,1.0,4.666666666666667,3.2,3.8,13.0,8.4,2.6666666666666665,1.8,0.6,0.8,0.8,0.2,3.63318042491699,-0.5999999999999996,4.6,0.8666666666666665
A.J. Lawson,1630639,2023-12-25,DAL @ PHX,0,0,2.0,8.333333333333334,6.2,4.3,18.333333333333332,14.2,4.666666666666667,3.6,1.4,0.8,2.2,0.8,7.014271166700073,1.9000000000000004,4.133333333333333,1.0666666666666669
A.J. Lawson,1630639,2024-01-03,DAL vs. POR,3,1,9.0,8.333333333333334,6.2,3.9,19.666666666666668,15.0,5.333333333333333,4.0,1.8,0.8,2.4,0.8,7.014271166700073,2.3000000000000003,4.666666666666668,1.333333333333333
A.J. Lawson,1630639,2024-01-05,DAL vs. POR,14,1,2.0,6.666666666666667,5.6,4.0,14.666666666666666,13.6,5.333333333333333,4.0,1.6,0.4,2.0,0.8,7.162401831787993,1.5999999999999996,1.0666666666666664,1.333333333333333
A.J. Lawson,1630639,2024-01-09,DAL vs. MEM,3,1,4.0,5.666666666666667,8.4,5.0,12.666666666666666,18.4,4.666666666666667,5.6,2.4,1.6,3.0,1.2,7.162401831787993,3.4000000000000004,-5.7333333333333325,-0.9333333333333327
A.J. Lawson,1630639,2024-01-13,DAL vs. NOP,3,1,4.0,6.666666666666667,7.4,5.3,12.666666666666666,14.8,5.0,5.4,2.6,1.2,3.0,1.0,7.569676347110224,2.1000000000000005,-2.1333333333333346,-0.40000000000000036
A.J. Lawson,1630639,2024-01-15,DAL vs. NOP,3,1,2.0,6.666666666666667,4.6,5.4,12.0,9.8,4.666666666666667,4.0,2.0,1.4,1.8,0.6,5.412947441089743,-0.8000000000000007,2.1999999999999993,0.666666666666667
A.J. Lawson,1630639,2024-01-17,DAL @ LAL,2,0,2.0,3.0,5.2,5.7,8.333333333333334,11.6,3.0,4.2,2.0,1.4,1.8,0.6,4.919349550499537,-0.5,-3.2666666666666657,-1.2000000000000002
A.J. Lawson,1630639,2024-01-24,DAL vs. PHX,3,1,7.0,2.6666666666666665,5.0,5.3,8.333333333333334,11.0,2.3333333333333335,3.6,1.8,1.4,1.8,0.6,5.049752469181039,-0.2999999999999998,-2.666666666666666,-1.2666666666666666
A.J. Lawson,1630639,2024-01-27,DAL vs. SAC,2,1,3.0,2.6666666666666665,2.8,5.6,8.0,7.0,2.3333333333333335,2.6,1.4,0.2,1.0,0.4,0.4472135954999579,-2.8,1.0,-0.2666666666666666
A.J. Lawson,1630639,2024-01-31,DAL @ MIN,3,0,4.0,2.3333333333333335,2.6,5.0,4.666666666666667,6.8,2.0,2.4,1.2,0.2,0.6,0.6,0.5477225575051662,-2.4,-2.133333333333333,-0.3999999999999999
A.J. Lawson,1630639,2024-02-05,DAL @ PHI,6,0,5.0,2.6666666666666665,2.6,3.6,8.0,8.6,3.3333333333333335,2.8,1.4,0.4,0.8,0.6,0.5477225575051662,-1.0,-0.5999999999999996,0.5333333333333337
A.J. Lawson,1630639,2024-02-08,DAL @ NYK,0,0,3.0,3.6666666666666665,3.2,4.2,8.0,6.8,3.3333333333333335,2.8,1.0,0.8,0.6,0.6,1.6431676725154982,-1.0,1.2000000000000002,0.5333333333333337
A.J. Lawson,1630639,2024-02-10,DAL vs. OKC,5,1,2.0,3.0,2.8,3.9,7.0,6.0,2.6666666666666665,2.6,1.0,0.8,0.6,0.6,2.16794833886788,-1.1,1.0,0.06666666666666643
A.J. Lawson,1630639,2024-02-12,DAL vs. WAS,0,1,2.0,3.6666666666666665,3.2,3.0,4.0,6.2,2.3333333333333335,2.8,1.0,0.8,0.8,0.4,2.3874672772626644,0.20000000000000018,-2.2,-0.46666666666666634
A.J. Lawson,1630639,2024-02-14,DAL vs. SAS,0,1,2.0,1.6666666666666667,2.8,2.7,2.3333333333333335,5.4,1.3333333333333333,2.4,0.8,0.8,0.8,0.2,2.7748873851023212,0.09999999999999964,-3.066666666666667,-1.0666666666666667
A.J. Lawson,1630639,2024-02-28,DAL @ TOR,2,0,14.0,1.6666666666666667,2.2,2.4,3.6666666666666665,3.4,1.6666666666666667,1.6,0.4,0.4,0.8,0.0,3.03315017762062,-0.19999999999999973,0.2666666666666666,0.06666666666666665
A.J. Lawson,1630639,2024-03-05,DAL vs. IND,2,1,6.0,0.6666666666666666,1.4,2.3,2.0,2.6,0.6666666666666666,1.2,0.4,0.0,1.0,0.0,2.1908902300206643,-0.8999999999999999,-0.6000000000000001,-0.5333333333333333
A.J. Lawson,1630639,2024-03-09,DAL @ DET,2,0,4.0,1.3333333333333333,1.8,2.3,2.6666666666666665,2.8,1.0,1.4,0.4,0.0,1.0,0.0,2.0493901531919194,-0.4999999999999998,-0.1333333333333333,-0.3999999999999999
A.J. Lawson,1630639,2024-03-11,DAL @ CHI,3,0,2.0,2.0,1.2,2.2,2.0,2.2,1.0,0.8,0.0,0.0,0.6,0.0,1.0954451150103321,-1.0000000000000002,-0.20000000000000018,0.19999999999999996
A.J. Lawson,1630639,2024-03-13,DAL vs. GSW,0,1,2.0,2.3333333333333335,1.8,2.3,3.6666666666666665,3.4,2.3333333333333335,1.8,0.4,0.4,0.8,0.2,1.095445115010332,-0.4999999999999998,0.2666666666666666,0.5333333333333334
A.J. Lawson,1630639,2024-03-21,DAL vs. UTA,2,1,8.0,1.6666666666666667,1.8,2.0,3.6666666666666665,2.8,2.0,1.6,0.4,0.4,0.4,0.2,1.095445115010332,-0.19999999999999996,0.8666666666666667,0.3999999999999999
A.J. Lawson,1630639,2024-03-25,DAL @ UTA,0,0,4.0,1.6666666666666667,1.8,1.6,3.0,2.8,2.3333333333333335,1.8,0.4,0.4,0.2,0.2,1.095445115010332,0.19999999999999996,0.20000000000000018,0.5333333333333334
A.J. Lawson,1630639,2024-03-26,DAL @ SAC,6,0,1.0,0.6666666666666666,1.4,1.6,1.3333333333333333,2.6,0.6666666666666666,1.6,0.4,0.4,0.2,0.2,1.3416407864998736,-0.20000000000000018,-1.2666666666666668,-0.9333333333333335
A.J. Lawson,1630639,2024-03-31,DAL @ HOU,0,0,5.0,2.6666666666666665,2.2,1.7,2.3333333333333335,3.0,1.6666666666666667,2.0,0.4,0.4,0.4,0.2,2.4899799195977463,0.5000000000000002,-0.6666666666666665,-0.33333333333333326
