Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS
0022300061,2023-10-24,LAL @ DEN,L,29,10,16,1,4,0,1,8,5,0,1,0,21,7
0022300076,2023-10-26,LAL vs. PHX,W,35,7,14,1,5,6,8,8,9,5,2,2,21,22
0022300100,2023-10-29,LAL @ SAC,L,39,11,19,3,8,2,6,15,8,8,0,0,27,-5
0022300111,2023-10-30,LAL vs. ORL,W,33,7,17,2,6,3,4,3,4,5,3,1,19,5
0022300127,2023-11-01,LAL vs. LAC,W,42,13,19,4,8,5,10,12,7,4,1,2,35,6
0022300134,2023-11-04,LAL @ ORL,L,35,8,15,2,5,6,7,9,5,3,3,0,24,12
0022300150,2023-11-06,LAL @ MIA,L,37,13,23,0,4,4,4,4,3,5,1,3,30,6
0022300163,2023-11-08,LAL @ HOU,L,27,7,13,0,2,4,5,6,2,3,0,0,18,-24
0022300015,2023-11-10,LAL @ PHX,W,36,11,17,3,4,7,11,11,6,4,1,1,32,2
0022300026,2023-11-14,LAL vs. MEM,W,23,6,11,3,6,1,2,9,6,4,1,0,16,15
0022300198,2023-11-15,LAL vs. SAC,L,35,9,15,3,7,7,8,10,12,6,4,1,28,0
0022300036,2023-11-17,LAL @ POR,W,35,13,22,5,9,4,6,5,9,3,2,0,35,19
0022300216,2023-11-19,LAL vs. HOU,W,40,14,19,2,5,7,9,6,8,2,3,0,37,2
0022300042,2023-11-21,LAL vs. UTA,W,24,6,10,3,5,2,2,7,9,2,0,0,17,14
0022300238,2023-11-22,LAL vs. DAL,L,36,9,19,4,9,4,7,9,7,3,0,0,26,7
0022300242,2023-11-25,LAL @ CLE,W,36,8,23,1,9,5,7,6,6,4,2,2,22,2
0022300255,2023-11-27,LAL @ PHI,L,30,8,12,1,1,1,2,0,5,1,1,1,18,-30
0022300258,2023-11-29,LAL @ DET,W,29,9,19,2,6,5,5,8,3,1,0,0,25,26
0022300271,2023-11-30,LAL @ OKC,L,35,7,12,4,8,3,4,12,6,5,1,1,21,-18
0022300291,2023-12-02,LAL vs. HOU,W,35,7,17,0,4,2,5,4,7,5,1,1,16,16
0022301203,2023-12-05,LAL vs. PHX,W,40,12,25,2,4,5,6,8,11,2,5,0,31,12
0022301230,2023-12-07,LAL vs. NOP,W,23,9,12,4,4,8,8,5,8,0,0,0,30,36
0022300306,2023-12-12,LAL @ DAL,L,40,14,27,3,8,2,3,8,9,4,3,1,33,-4
0022300331,2023-12-15,LAL @ SAS,L,36,7,17,2,6,7,10,7,14,2,2,0,23,-28
0022300359,2023-12-18,LAL vs. NYK,L,39,10,23,2,8,3,4,11,11,2,1,0,25,-13
0022300370,2023-12-20,LAL @ CHI,L,37,10,18,1,3,4,4,10,9,5,1,2,25,-11
0022300397,2023-12-23,LAL @ OKC,W,37,13,20,5,5,9,9,7,7,3,2,2,40,10
0022300403,2023-12-25,LAL vs. BOS,L,37,5,14,1,2,5,6,9,8,3,0,0,16,-11
0022300428,2023-12-28,LAL vs. CHA,W,25,7,13,2,5,1,1,4,11,3,0,0,17,1
0022300443,2023-12-30,LAL @ MIN,L,39,10,21,1,4,5,7,3,6,1,3,1,26,-5
0022300446,2023-12-31,LAL @ NOP,L,37,12,24,3,7,7,8,5,8,4,0,1,34,-11
0022300475,2024-01-03,LAL vs. MIA,L,38,6,18,0,6,0,0,6,9,2,0,0,12,-20
0022300491,2024-01-05,LAL vs. MEM,L,39,11,24,4,9,6,10,5,7,4,5,0,32,-8
0022300505,2024-01-07,LAL vs. LAC,W,38,11,19,1,3,2,3,8,7,4,1,0,25,5
0022300516,2024-01-09,LAL vs. TOR,W,35,8,17,2,5,4,6,5,12,3,1,1,22,0
0022300531,2024-01-11,LAL vs. PHX,L,24,3,11,0,4,4,7,5,9,4,1,0,10,-25
0022300565,2024-01-15,LAL vs. OKC,W,39,12,20,1,2,0,1,7,6,5,0,0,25,2
0022300577,2024-01-17,LAL vs. DAL,W,33,10,19,3,7,2,2,8,8,3,1,0,25,20
0022300591,2024-01-19,LAL vs. BKN,L,34,9,22,2,5,4,5,11,5,4,0,0,24,-13
0022300605,2024-01-21,LAL vs. POR,W,31,8,16,3,8,9,10,5,5,3,0,0,28,28
0022300633,2024-01-25,LAL vs. CHI,W,36,10,19,3,4,2,2,4,12,5,2,0,25,14
0022300650,2024-01-27,LAL @ GSW,W,48,14,25,2,4,6,6,20,12,3,0,0,36,-6
0022300662,2024-01-29,LAL @ HOU,L,37,9,15,2,5,3,8,6,10,1,1,1,23,-11
0022300669,2024-01-30,LAL @ ATL,L,36,7,17,2,6,4,9,9,8,3,1,1,20,-6
0022300701,2024-02-03,LAL @ NYK,W,40,10,19,2,5,2,2,5,5,1,2,1,24,11
0022300713,2024-02-05,LAL @ CHA,W,40,12,22,0,5,2,3,4,7,4,1,1,26,2
0022300740,2024-02-08,LAL vs. DEN,L,35,9,20,2,6,5,5,9,7,2,1,1,25,-6
0022300747,2024-02-09,LAL vs. NOP,W,38,6,13,2,2,7,8,4,14,2,1,1,21,15
