Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,REB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,PLAYER_NAME,PLAYER_ID
0022300277,2023-12-01,DAL vs. MEM,L,4,0,1,0,1,1,2,1,0,0,0,0,1,4,A.J. Lawson,1630639
0022300287,2023-12-02,DAL vs. OKC,L,19,4,10,3,7,1,2,0,2,0,0,1,12,9,A.J. Lawson,1630639
0022301213,2023-12-06,DAL vs. UTA,W,7,2,2,0,0,0,0,1,0,0,0,0,4,7,A.J. Lawson,1630639
0022301226,2023-12-08,DAL @ POR,W,7,1,3,0,2,0,0,1,0,0,0,0,2,-4,A.J. Lawson,1630639
0022300299,2023-12-11,DAL @ MEM,W,14,2,7,0,4,0,0,1,1,1,0,0,4,1,A.J. Lawson,1630639
0022300306,2023-12-12,DAL vs. LAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,A.J. Lawson,1630639
0022300321,2023-12-14,DAL vs. MIN,L,2,1,1,0,0,0,0,0,0,0,0,0,2,1,A.J. Lawson,1630639
0022300341,2023-12-16,DAL @ POR,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A.J. Lawson,1630639
0022300356,2023-12-18,DAL @ DEN,L,15,2,4,1,2,1,2,2,0,1,0,0,6,-9,A.J. Lawson,1630639
0022300372,2023-12-20,DAL vs. LAC,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A.J. Lawson,1630639
0022300385,2023-12-22,DAL @ HOU,L,23,3,4,0,1,2,2,2,1,3,4,0,8,2,A.J. Lawson,1630639
0022300398,2023-12-23,DAL vs. SAS,W,31,7,10,3,4,0,0,7,3,1,2,0,17,16,A.J. Lawson,1630639
0022300405,2023-12-25,DAL @ PHX,W,5,0,2,0,2,0,0,1,0,0,0,0,0,-1,A.J. Lawson,1630639
0022300472,2024-01-03,DAL vs. POR,W,8,1,4,1,1,0,0,0,0,0,1,0,3,-3,A.J. Lawson,1630639
0022300487,2024-01-05,DAL vs. POR,W,25,4,8,1,4,5,6,5,2,2,2,0,14,21,A.J. Lawson,1630639
0022300515,2024-01-09,DAL vs. MEM,L,5,1,3,1,2,0,0,2,0,0,0,0,3,-3,A.J. Lawson,1630639
0022300547,2024-01-13,DAL vs. NOP,L,6,1,3,0,1,1,1,1,1,1,0,0,3,4,A.J. Lawson,1630639
0022300556,2024-01-15,DAL vs. NOP,W,14,1,3,1,2,0,0,1,0,0,0,1,3,-1,A.J. Lawson,1630639
0022300577,2024-01-17,DAL @ LAL,L,5,1,1,0,0,0,0,0,0,0,0,0,2,6,A.J. Lawson,1630639
